Expiry;UnderlyingTenor;Strike;Volatility
3M;30Y;-300bp;0.014406
3M;30Y;-250bp;0.012938
3M;30Y;-200bp;0.011429
3M;30Y;-150bp;0.009882
3M;30Y;-100bp;0.008314
3M;30Y;-75bp;0.007551
3M;30Y;-50bp;0.006853
3M;30Y;-25bp;0.006325
3M;30Y;ATM;0.006152
3M;30Y;25bp;0.00644
3M;30Y;50bp;0.007044
3M;30Y;75bp;0.00779
3M;30Y;100bp;0.008585
3M;30Y;150bp;0.010198
3M;30Y;200bp;0.011782
3M;30Y;250bp;0.013321
3M;30Y;300bp;0.014818
3M;30Y;350bp;0.016277
6M;1Y;-350bp;0.01348
6M;1Y;-300bp;0.012133
6M;1Y;-250bp;0.010745
6M;1Y;-200bp;0.009307
6M;1Y;-150bp;0.007806
6M;1Y;-100bp;0.006222
6M;1Y;-75bp;0.005394
6M;1Y;-50bp;0.004547
6M;1Y;-25bp;0.003722
6M;1Y;ATM;0.003174
6M;1Y;25bp;0.003426
6M;1Y;50bp;0.004128
6M;1Y;75bp;0.004904
6M;1Y;100bp;0.005676
6M;1Y;150bp;0.007168
6M;1Y;200bp;0.008589
6M;1Y;250bp;0.009954
6M;1Y;300bp;0.011275
6M;1Y;350bp;0.012558
6M;2Y;-350bp;0.013166
6M;2Y;-300bp;0.011925
6M;2Y;-250bp;0.01065
6M;2Y;-200bp;0.009334
6M;2Y;-150bp;0.007973
6M;2Y;-100bp;0.006567
6M;2Y;-75bp;0.005859
6M;2Y;-50bp;0.005179
6M;2Y;-25bp;0.004609
6M;2Y;ATM;0.004361
6M;2Y;25bp;0.004613
6M;2Y;50bp;0.005185
6M;2Y;75bp;0.005867
6M;2Y;100bp;0.006575
6M;2Y;150bp;0.007983
6M;2Y;200bp;0.009345
6M;2Y;250bp;0.010662
6M;2Y;300bp;0.011938
6M;2Y;350bp;0.01318
6M;3Y;-350bp;0.012869
6M;3Y;-300bp;0.011688
6M;3Y;-250bp;0.010477
6M;3Y;-200bp;0.009231
6M;3Y;-150bp;0.007948
6M;3Y;-100bp;0.006639
